"","X1","network","perm","aic","type"
"195",195,"M_PL_050","rds",0.0038860880998802,"PH_S"
"196",196,"M_PL_050","rds",57.2352402007616,"HP_NS"
"197",197,"M_PL_051","rds",-0.0116540853335678,"HP_S"
"198",198,"M_PL_051","rds",-6.15984582861446,"PH_NS"
"199",199,"M_PL_051","rds",-0.00303992632911369,"PH_S"
"200",200,"M_PL_051","rds",-64.8246420412315,"HP_NS"
"201",201,"M_PL_052","rds",0.00289892028334225,"HP_S"
"202",202,"M_PL_052","rds",-2.14868683993541,"PH_NS"
"203",203,"M_PL_052","rds",-0.00138487978738851,"PH_S"
"204",204,"M_PL_052","rds",10.2740284174653,"HP_NS"
"205",205,"M_PL_053","rds",0.000794112653552191,"HP_S"
"206",206,"M_PL_053","rds",8.72851218375695,"PH_NS"
"207",207,"M_PL_053","rds",0.00221729063121148,"PH_S"
"208",208,"M_PL_053","rds",7.81670550801891,"HP_NS"
"209",209,"M_PL_058","rds",-5.665669908686e-06,"HP_S"
"210",210,"M_PL_058","rds",1.99303496961576,"PH_NS"
"211",211,"M_PL_058","rds",0.000817822835687321,"PH_S"
"212",212,"M_PL_058","rds",-0.0380741293859046,"HP_NS"
"213",213,"M_PL_059","rds",0.0247921266753563,"HP_S"
"214",214,"M_PL_059","rds",-3.30753880406415,"PH_NS"
"215",215,"M_PL_059","rds",-0.00430014670824384,"PH_S"
"216",216,"M_PL_059","rds",30.8535628314169,"HP_NS"
